"question","answer"
"Ich habe keinen familieninternen Nachfolger. Was jetzt?","Das ist häufig. Viele Unternehmer haben keine Nachfolge innerhalb der Familie. Vidai bietet eine externe Lösung: eine langfristige Mehrheitsbeteiligung statt eines schnellen Verkaufs an einen strategischen Käufer. Wir übernehmen Verantwortung für das Lebenswerk, die Mitarbeitenden und die Kunden, ohne festes Exit-Datum."
"Was ist Vidai?","Vidai ist ein Schweizer Unternehmen für KMU Nachfolgeregelung mit Sitz in der Deutschschweiz. Vidai übernimmt langfristige Mehrheitsbeteiligungen an kleinen und mittleren Unternehmen (AG und GmbH) im Rahmen einer Firmen Nachfolgeregelung, ohne festes Exit-Datum."
"Wer ist Kannan Palani?","Kannan Palani ist der Gründer von Vidai. Er verfügt über 27 Jahre Führungserfahrung in globalen Unternehmen, davon 17 Jahre bei The Adecco Group, sowie über ein Jahrzehnt Erfahrung als Angel Investor. Mehr über Kannan Palani unter <a href=""index.html#team"">Team</a>. Er blogt regelmässig unter <a href=""https://www.palani.ch/de/blog"" rel=""noopener"">palani.ch</a>."
"Ist Vidai ein Ein-Personen-Team?","Nein. Über die Jahre hat Kannan ein Netzwerk aufgebaut, das Suche, Investitionen, Technology &amp; Back Office sowie Kommunikation mit Mitarbeitenden, Kunden und Lieferanten unterstützt. Sobald eine Transaktion konkret wird, werden gezielt Fachpersonen hinzugezogen: Recht, Finanzen, Treuhand und Branchenwissen, je nach Phase vor oder nach dem Deal. Im Bereich Technology &amp; Back Office unterstützt ihn ein Team in Coimbatore vollzeit, von der Web-Präsenz bis zur Primärrecherche. Bei der eigentlichen Nachfolgeregelung ist diese Unterstützung aus Coimbatore begrenzt, aufgrund der VTV-Anforderungen und der Anforderungen an die deutsche Sprache."
"Für welche Unternehmen eignet sich eine Nachfolgeregelung mit Vidai?","Vidai richtet sich an eigentümergeführte AG und GmbH in der Deutschschweiz mit CHF 1–10 Mio. Umsatz, mehr als CHF 200k EBITDA und 5–50 Mitarbeitenden, die eine Nachfolgeregelung suchen. Mehr <a href=""ziele.html"">hier.</a>"
"Was bedeutet „Während wir suchen, bauen wir""?","Die Nachfolgesuche ist kein passiver Prozess. Während wir passende Unternehmen suchen, bauen wir eigene Projekte auf. Ein Beispiel ist <a href=""https://mulai.ch"" target=""_blank"" rel=""noopener"">mulai.ch</a>, unser Modell für Zusammenarbeit und Arbeitsorganisation. Was wir bauen, zeigt, wie wir arbeiten. Und es zeigt, was wir suchen: Unternehmen mit echter Substanz, geführt mit Sorgfalt."
"Wie unterscheidet sich Vidai von Private Equity?","Private-Equity-Fonds haben oft ein festes Zeitfenster, meist 3 bis 7 Jahre, danach folgt der Exit. Vidai hat kein festes Exit-Datum. Wir denken in Jahrzehnten, nicht in Fondszyklen. Das Ziel: ein Unternehmen, das auch 10 bis 20 Jahre nach der Übergabe noch stabil dasteht."
"Wie viel Kapital seid ihr bereit zu investieren?","Wir haben Kapital für konkrete Transaktionen bis zu einem Unternehmenswert von CHF 7.5 Millionen gesichert. Aktuell suchen wir gezielt nach deutlich kleineren Firmen. Das bedeutet: Wir können über die eigentliche Nachfolge hinaus zusätzliches Kapital ins Unternehmen einbringen, etwa für Wachstum oder Investitionen nach der Übergabe. Ein festes Angebot machen wir erst, wenn ein Business- und Finanzplan steht. Uns ist wichtig: ein guter Exit für den Unternehmer, und dass die Firma auch 10 bis 20 Jahre nach der Übergabe noch stabil dasteht."
"Bleiben die Mitarbeitenden nach der Übernahme?","Ja, das ist uns wichtig. Wir kaufen kein Unternehmen, um es zu zerlegen, wir übernehmen es, um es weiterzuführen. Die Mitarbeitenden kennen den Betrieb, die Kunden und die Prozesse, sie sind Teil der Substanz, die wir übernehmen wollen. Wir begrüssen auch mehr Eigentum bei Mitarbeitenden, nicht weniger: Wenn Mitarbeitende bereit sind, das unternehmerische Risiko mitzutragen, ist das für uns ein Vorteil. Veränderung gehört zum Geschäft und zum Leben, nicht alle kommen gleich gut damit zurecht. Für Mitarbeitende, die mit dem Übergang zu kämpfen haben, sorgen wir mit Mitgefühl und Sorgfalt für die nötige Unterstützung."
"Bleibt der Verkauf vertraulich?","Ja. Wir wissen, wie sensibel dieses Thema ist. Erste Gespräche finden diskret statt, ohne Meldung an Mitarbeitende, Kunden oder Wettbewerber. Erst wenn beide Seiten sicher sind, dass eine Zusammenarbeit sinnvoll ist, gehen wir die nächsten Schritte gemeinsam an."
"Ist Vidai im Handelsregister eingetragen?","Noch nicht. Vidai befindet sich aktuell im Aufbau. Sobald eine Einigung mit einem Zielunternehmen erreicht ist, wird Vidai automatisch zur Holding, die das Unternehmen übernimmt. Der rechtliche Rahmen entsteht im Zug der ersten Transaktion, nicht davor."
"Wie kontaktiere ich Vidai für eine Firmen Nachfolgeregelung?","Über den Button „Gespräch vereinbaren"" weiter unten können Sie direkt ein unverbindliches Erstgespräch mit Kannan Palani buchen."
